# ID, TIMESTAMP,,,,,
2,2968,NULL,2968,NULL,NULL,25
3,2989,NULL,NULL,2989,NULL,21
4,3010,NULL,NULL,NULL,3010,21
1,3031,3031,NULL,NULL,NULL,21
2,3056,NULL,3056,NULL,NULL,25
3,3077,NULL,NULL,3077,NULL,21
4,3098,NULL,NULL,NULL,3098,21
1,3119,3119,NULL,NULL,NULL,21
2,3144,NULL,3144,NULL,NULL,25
3,3165,NULL,NULL,3165,NULL,21
4,3186,NULL,NULL,NULL,3186,21
1,3207,3207,NULL,NULL,NULL,21
2,3232,NULL,3232,NULL,NULL,25
3,3253,NULL,NULL,3253,NULL,21
4,3274,NULL,NULL,NULL,3274,21
1,3295,3295,NULL,NULL,NULL,21
2,3320,NULL,3320,NULL,NULL,25
3,3341,NULL,NULL,3341,NULL,21
4,3362,NULL,NULL,NULL,3362,21
1,3383,3383,NULL,NULL,NULL,21
2,3408,NULL,3408,NULL,NULL,25
3,3429,NULL,NULL,3429,NULL,21
4,3450,NULL,NULL,NULL,3450,21
1,3471,3471,NULL,NULL,NULL,21
2,3496,NULL,3496,NULL,NULL,25
3,3517,NULL,NULL,3517,NULL,21
4,3538,NULL,NULL,NULL,3538,21
1,3559,3559,NULL,NULL,NULL,21
2,3584,NULL,3584,NULL,NULL,25
3,3605,NULL,NULL,3605,NULL,21
4,3626,NULL,NULL,NULL,3626,21
1,3647,3647,NULL,NULL,NULL,21
2,3672,NULL,3672,NULL,NULL,25
3,3693,NULL,NULL,3693,NULL,21
4,3714,NULL,NULL,NULL,3714,21
1,3735,3735,NULL,NULL,NULL,21
2,3760,NULL,3760,NULL,NULL,25
3,3781,NULL,NULL,3781,NULL,21
4,3802,NULL,NULL,NULL,3802,21
1,3823,3823,NULL,NULL,NULL,21
2,3848,NULL,3848,NULL,NULL,25
3,3869,NULL,NULL,3869,NULL,21
4,3890,NULL,NULL,NULL,3890,21
1,3911,3911,NULL,NULL,NULL,21
2,3936,NULL,3936,NULL,NULL,25
3,3957,NULL,NULL,3957,NULL,21
4,3978,NULL,NULL,NULL,3978,21
1,3999,3999,NULL,NULL,NULL,21
2,4024,NULL,4024,NULL,NULL,25
3,4045,NULL,NULL,4045,NULL,21
4,4066,NULL,NULL,NULL,4066,21
1,4087,4087,NULL,NULL,NULL,21
2,4112,NULL,4112,NULL,NULL,25
3,4133,NULL,NULL,4133,NULL,21
4,4154,NULL,NULL,NULL,4154,21
1,4175,4175,NULL,NULL,NULL,21
2,4200,NULL,4200,NULL,NULL,25
3,4221,NULL,NULL,4221,NULL,21
4,4242,NULL,NULL,NULL,4242,21
1,4263,4263,NULL,NULL,NULL,21
2,4288,NULL,4288,NULL,NULL,25
3,4309,NULL,NULL,4309,NULL,21
4,4330,NULL,NULL,NULL,4330,21
1,4351,4351,NULL,NULL,NULL,21
2,4376,NULL,4376,NULL,NULL,25
3,4397,NULL,NULL,4397,NULL,21
4,4418,NULL,NULL,NULL,4418,21
1,4439,4439,NULL,NULL,NULL,21
2,4464,NULL,4464,NULL,NULL,25
3,4485,NULL,NULL,4485,NULL,21
4,4506,NULL,NULL,NULL,4506,21
1,4527,4527,NULL,NULL,NULL,21
2,4552,NULL,4552,NULL,NULL,25
3,4573,NULL,NULL,4573,NULL,21
4,4594,NULL,NULL,NULL,4594,21
1,4615,4615,NULL,NULL,NULL,21
2,4640,NULL,4640,NULL,NULL,25
3,4661,NULL,NULL,4661,NULL,21
4,4682,NULL,NULL,NULL,4682,21
1,4703,4703,NULL,NULL,NULL,21
2,4728,NULL,4728,NULL,NULL,25
3,4749,NULL,NULL,4749,NULL,21
4,4770,NULL,NULL,NULL,4770,21
1,4791,4791,NULL,NULL,NULL,21
2,4816,NULL,4816,NULL,NULL,25
3,4837,NULL,NULL,4837,NULL,21
4,4858,NULL,NULL,NULL,4858,21
1,4879,4879,NULL,NULL,NULL,21
2,4904,NULL,4904,NULL,NULL,25
3,4925,NULL,NULL,4925,NULL,21
4,4946,NULL,NULL,NULL,4946,21
1,4967,4967,NULL,NULL,NULL,21
2,4992,NULL,4992,NULL,NULL,25
3,5013,NULL,NULL,5013,NULL,21
4,5034,NULL,NULL,NULL,5034,21
1,5055,5055,NULL,NULL,NULL,21
2,5080,NULL,5080,NULL,NULL,25
3,5101,NULL,NULL,5101,NULL,21
4,5122,NULL,NULL,NULL,5122,21
1,5143,5143,NULL,NULL,NULL,21
2,5168,NULL,5168,NULL,NULL,25
3,5189,NULL,NULL,5189,NULL,21
4,5210,NULL,NULL,NULL,5210,21
1,5231,5231,NULL,NULL,NULL,21
2,5256,NULL,5256,NULL,NULL,25
3,5277,NULL,NULL,5277,NULL,21
4,5298,NULL,NULL,NULL,5298,21
1,5319,5319,NULL,NULL,NULL,21
2,5344,NULL,5344,NULL,NULL,25
3,5365,NULL,NULL,5365,NULL,21
4,5386,NULL,NULL,NULL,5386,21
1,5407,5407,NULL,NULL,NULL,21
2,5432,NULL,5432,NULL,NULL,25
3,5453,NULL,NULL,5453,NULL,21
4,5474,NULL,NULL,NULL,5474,21
1,5495,5495,NULL,NULL,NULL,21
2,5520,NULL,5520,NULL,NULL,25
3,5541,NULL,NULL,5541,NULL,21
4,5562,NULL,NULL,NULL,5562,21
,,,,,,21.7265625
